ADJ VALUE,ADJ VALUE TOTAL,PLAYER,TEAM ABBV,POS,INJ RISK,TIER,VALUE,MPG,PTS,3PTM,TREB,AST,STL,BLK,FG%,FT%,nationality_1,archetype,height_feet,weight_lbs,wingspan_feet,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick,season_salary,birthdate,hometown,prior_to_nba,salary
17.83019819,19.65024849,Victor Wembanyama,SAS,C,M,C 1,1.231530887,34,27.17273973,2.865205479,11.92123288,3.97369863,1.158356164,3.829315068,0.5040746968,0.8169968251,France,Defensive Anchor,"7'4""",210.0,"8'0""",86.0,76.0,86.0,71.0,71.0,82.0,70.0,75.0,76.0,66.0,66.0,57.0,69.0,94.0,90.0,88.0,82.0,82.0,90.0,75.0,84.0,84.0,84.0,57.0,98.0,70.0,72.0,70.0,64.0,75.0,70.0,79.0,88.0,66.0,59.0,99.0,80.0,78.0,85.0,81.0,69.0,92.0,85.0,99.0,2890.0,bronze,,,silver,,gold,,bronze,,bronze,,bronze,,bronze,bronze,gold,,bronze,bronze,,,,silver,,,,,gold,,,,,silver,,silver,silver,silver,,,bronze,,,,,
16.08804728,17.73032406,Nikola Jokic,DEN,C,M,C 1,1.018445918,34,27.67616438,1.596849315,12.16205479,8.994657534,1.430821918,0.7154794521,0.5850911056,0.8100037561,Serbia,3-Level Scoring Point Center,"7'0""",250.0,"7'3""",97.0,93.0,99.0,98.0,85.0,82.0,98.0,98.0,75.0,63.0,47.0,93.0,63.0,97.0,80.0,83.0,89.0,91.0,90.0,75.0,93.0,93.0,93.0,90.0,90.0,85.0,93.0,76.0,60.0,98.0,96.0,67.0,79.0,61.0,53.0,57.0,79.0,66.0,75.0,80.0,66.0,93.0,98.0,97.0,3048.0,gold,gold,,gold,gold,,bronze,gold,bronze,gold,gold,gold,gold,gold,,gold,,gold,gold,gold,,,,,gold,,,,,,,,,,,gold,bronze,gold,,,,,,Serbia,
13.7228176,15.34922464,Shai Gilgeous-Alexander,OKC,PG,M,PG 1,0.8387537594,33,30.51821918,1.935479452,4.558082192,6.381369863,1.462876712,0.915890411,0.5059710628,0.8890039069,Canada,2-Way 3-Level Playmaker,"6'6""",195.0,"7'0""",93.0,92.0,95.0,90.0,78.0,92.0,98.0,98.0,85.0,86.0,86.0,60.0,85.0,97.0,98.0,80.0,74.0,88.0,40.0,75.0,66.0,73.0,72.0,80.0,98.0,89.0,97.0,94.0,85.0,88.0,80.0,81.0,68.0,83.0,88.0,66.0,84.0,95.0,85.0,58.0,48.0,68.0,98.0,97.0,3059.0,gold,,,gold,gold,,gold,,gold,,gold,,,,,,silver,gold,gold,silver,silver,silver,gold,gold,gold,silver,gold,,bronze,gold,silver,bronze,,gold,,,,,silver,silver,,,,Kentucky,
11.98025952,14.94833935,Trae Young,WAS,PG,L,PG 2,0.2120680272,36,25.69467532,3.18987013,2.885974026,11.73519481,1.171558442,0.07792207792,0.4194826187,0.8839938535,United States,Offense- Heavy Point,"6'1""",180.0,"6'3""",88.0,90.0,92.0,91.0,90.0,85.0,84.0,98.0,76.0,84.0,72.0,50.0,78.0,90.0,75.0,86.0,54.0,87.0,25.0,30.0,28.0,60.0,34.0,84.0,80.0,91.0,92.0,92.0,84.0,96.0,92.0,45.0,31.0,55.0,43.0,30.0,58.0,70.0,30.0,44.0,34.0,54.0,65.0,93.0,2522.0,gold,silver,gold,bronze,hof,,gold,,gold,,,,,,,,gold,gold,,gold,gold,gold,silver,silver,gold,,,,,,,,,,,,,,silver,,,,,Oklahoma,
13.08755157,12.42417377,Giannis Antetokounmpo,MIL,PF/C,M,PF 1,0.1017577963,34,31.53727273,0.3195454545,11.01742424,8.227272727,0.9295454545,0.93,0.5820021179,0.6390001502,Greece,2-Way Inside-The-Arc Playmaker,"6'11""",222.0,"7'4""",97.0,78.0,88.0,74.0,69.0,65.0,75.0,98.0,91.0,89.0,90.0,94.0,85.0,98.0,95.0,89.0,88.0,98.0,85.0,91.0,79.0,74.0,87.0,97.0,95.0,85.0,84.0,87.0,80.0,95.0,78.0,86.0,90.0,90.0,68.0,80.0,92.0,88.0,95.0,76.0,61.0,91.0,98.0,97.0,3189.0,,,,,,gold,gold,bronze,gold,silver,hof,silver,gold,silver,gold,bronze,,bronze,silver,bronze,,,,,bronze,silver,bronze,gold,gold,silver,silver,gold,gold,bronze,gold,gold,silver,silver,,gold,,,,Filathlitikos (Greece),
9.413903228,12.01354932,Anthony Edwards,MIN,PG/SG,L,SG 1,0.2435055814,36,28.11974026,3.513116883,5.42025974,5.123246753,1.113506494,0.6683116883,0.4554491576,0.8269985196,United States,2-Way Inside-Out ISO Creator,"6'4""",225.0,"6'9""",91.0,86.0,95.0,84.0,84.0,85.0,70.0,98.0,87.0,91.0,90.0,62.0,97.0,97.0,90.0,83.0,75.0,90.0,50.0,97.0,60.0,62.0,62.0,80.0,98.0,79.0,74.0,86.0,85.0,79.0,72.0,70.0,59.0,83.0,53.0,52.0,80.0,80.0,80.0,50.0,36.0,63.0,70.0,92.0,2869.0,gold,bronze,,gold,gold,gold,silver,,gold,,gold,,,,hof,,silver,gold,silver,,silver,bronze,gold,silver,,silver,,silver,,bronze,silver,bronze,,silver,,,,,silver,gold,,,,Georgia,
10.41336485,11.99812912,James Harden,CLE,PG/SG,M,PG 2,0.2809388503,34,22.09767123,2.880547945,5.153150685,7.860547945,1.168082192,0.6917808219,0.4438016898,0.8730016817,United States,Inside-Out Combo Guard,"6'5""",220.0,"6'11""",89.0,84.0,85.0,85.0,85.0,87.0,70.0,90.0,86.0,85.0,70.0,71.0,87.0,98.0,97.0,95.0,76.0,92.0,35.0,84.0,60.0,74.0,69.0,94.0,98.0,90.0,82.0,97.0,85.0,94.0,90.0,63.0,62.0,70.0,46.0,53.0,63.0,82.0,65.0,52.0,36.0,68.0,75.0,95.0,2874.0,gold,silver,bronze,,gold,,gold,,gold,,bronze,,,,,,gold,gold,silver,gold,gold,silver,silver,silver,gold,,,,,,,,,,,,,,,,,,,Arizona State,
12.11808806,11.96648444,Luka Doncic,LAL,PG/SG,H,PG 1,0.5460004608,36,30.24911765,3.715735294,7.870441176,7.722058824,1.485,0.4445588235,0.4687090339,0.7909940252,Slovenia,Offensive Architect,"6'7""",218.0,"6'8""",93.0,90.0,97.0,95.0,86.0,73.0,90.0,98.0,83.0,83.0,75.0,70.0,72.0,98.0,98.0,85.0,77.0,95.0,55.0,70.0,64.0,69.0,70.0,96.0,98.0,90.0,85.0,94.0,83.0,97.0,91.0,61.0,48.0,73.0,42.0,55.0,73.0,69.0,65.0,60.0,38.0,82.0,80.0,94.0,2906.0,gold,gold,,gold,hof,,gold,,gold,,gold,,,,,,silver,gold,gold,gold,silver,,gold,gold,gold,,,,,,,,,,,bronze,silver,,,,,,,Slovenia,
10.38727289,11.94295249,Cade Cunningham,DET,PG/SG,M,PG 2,0.2930094306,35,27.32726027,2.124246575,5.744383562,8.763835616,1.029452055,0.6635616438,0.474658017,0.8669937435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.040730512,10.49675878,Tyrese Maxey,PHI,PG,M,PG 3,0.3433059888,38,26.25520548,3.289178082,3.324931507,6.427808219,1.345890411,0.3971232877,0.4492773572,0.8709925622,United States,Offensive Architect,"6'2""",200.0,"6'5""",89.0,90.0,82.0,86.0,85.0,89.0,98.0,98.0,82.0,90.0,90.0,44.0,80.0,98.0,95.0,77.0,67.0,94.0,25.0,70.0,45.0,60.0,47.0,94.0,98.0,86.0,85.0,89.0,90.0,89.0,79.0,61.0,52.0,79.0,41.0,51.0,69.0,68.0,65.0,40.0,32.0,48.0,88.0,89.0,2759.0,bronze,,bronze,gold,bronze,,silver,,silver,,silver,,,,,,,,,,,silver,,,silver,,,,,,,,,,,,,,silver,,,,,Kentucky,
10.25319803,10.38564411,Stephen Curry,GSW,PG,H,PG 2,0.3906755454,33,25.06691176,4.574411765,4.492058824,5.887794118,1.020882353,0.4076470588,0.4534213763,0.9199878616,United States,All-Around Star,"6'3""",190.0,"6'4""",98.0,95.0,90.0,93.0,99.0,91.0,98.0,98.0,84.0,93.0,85.0,48.0,78.0,98.0,98.0,86.0,58.0,97.0,25.0,36.0,35.0,52.0,35.0,84.0,98.0,94.0,96.0,97.0,93.0,97.0,88.0,69.0,30.0,82.0,77.0,37.0,82.0,95.0,80.0,46.0,38.0,53.0,69.0,98.0,2829.0,hof,legendary,legendary,gold,legendary,,gold,,gold,,,,,,,,gold,gold,silver,bronze,gold,gold,gold,gold,bronze,,silver,,,bronze,,,,,,,,,gold,,,,,Davidson,
10.16906528,10.30129168,Devin Booker,PHO,PG/SG,H,PG 2,0.2743610558,36,26.53220588,2.279558824,4.752058824,8.093235294,0.8910294118,0.2970588235,0.4762321511,0.8959905247,United States,Offensive Architect,"6'6""",210.0,"6'6""",92.0,92.0,95.0,95.0,87.0,88.0,90.0,95.0,78.0,79.0,75.0,59.0,74.0,95.0,85.0,81.0,77.0,95.0,30.0,75.0,74.0,79.0,85.0,95.0,85.0,85.0,89.0,93.0,76.0,90.0,78.0,62.0,58.0,75.0,42.0,47.0,72.0,70.0,70.0,52.0,48.0,55.0,98.0,92.0,2869.0,gold,silver,,bronze,gold,,silver,,silver,silver,,bronze,,bronze,,,silver,gold,silver,bronze,gold,silver,silver,silver,bronze,,,bronze,,,,,,,,,,,gold,,,,,Kentucky,
8.44299473,9.760744645,Josh Giddey,CHI,PG/SG,M,PG 3,0.199608629,33,19.12068493,1.579726027,9.384383562,8.590273973,1.155068493,0.7204109589,0.4724052358,0.792998361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.311213812,9.751348544,Evan Mobley,CLE,PF/C,M,PF 3,0.2067569124,31,19.13356164,1.494246575,9.588630137,3.587671233,0.8475342466,1.696575342,0.5409558265,0.6940065751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0471909,9.12362753,Kevin Durant,HOU,SF/PF,H,SF 1,0.3141447757,35,28.26390625,2.7165625,5.3025,4.860625,0.80796875,0.88375,0.5144118941,0.8570038143,United States,All-Around Star,"6'10""",240.0,"7'5""",96.0,95.0,97.0,98.0,89.0,88.0,98.0,98.0,82.0,80.0,85.0,63.0,77.0,94.0,85.0,88.0,86.0,95.0,60.0,85.0,76.0,88.0,89.0,94.0,98.0,82.0,78.0,92.0,80.0,88.0,73.0,74.0,68.0,85.0,47.0,73.0,85.0,75.0,85.0,70.0,60.0,79.0,83.0,98.0,3074.0,hof,gold,,gold,gold,silver,silver,,silver,bronze,,bronze,,bronze,,,bronze,bronze,silver,,silver,,bronze,bronze,,bronze,,,bronze,,,bronze,,,,,,,gold,,,,,Texas,
9.011537267,9.035893353,Amen Thompson,HOU,PG/SG/SF,H,SG 2,0.2340607564,35,17.37764706,0.4601470588,8.248382353,6.407205882,1.472941176,1.251911765,0.5599173554,0.6500144279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.949934186,8.982230539,Donovan Mitchell,CLE,PG/SG,H,SG 2,0.3335944297,32,26.15735294,3.337647059,4.578676471,5.656029412,1.274705882,0.27,0.4606591024,0.8500082142,United States,2-Way Inside-Out ISO Creator,"6'3""",215.0,"6'10""",88.0,89.0,88.0,80.0,86.0,85.0,98.0,95.0,86.0,96.0,86.0,60.0,97.0,96.0,90.0,80.0,66.0,89.0,50.0,92.0,25.0,44.0,38.0,93.0,98.0,82.0,79.0,88.0,83.0,85.0,75.0,73.0,68.0,79.0,82.0,49.0,79.0,79.0,75.0,48.0,45.0,51.0,55.0,88.0,2826.0,silver,bronze,silver,silver,silver,silver,silver,,silver,,,,,,gold,,bronze,silver,,,bronze,gold,bronze,bronze,,,silver,,bronze,silver,bronze,bronze,,,,,,,bronze,bronze,,,,Louisville,
7.632271282,8.96720852,Myles Turner,MIL,C,M,C 4,0.2719916438,32,17.51013699,2.239452055,6.867945205,1.749589041,0.7526027397,2.356712329,0.5067098125,0.782011243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.62515691,8.683485557,Karl-Anthony Towns,NYK,PF/C,H,C 2,0.269864203,34,23.65264706,2.262058824,10.16808824,3.786764706,0.9052941176,0.5636764706,0.513476047,0.8300011107,Dominican Republic,Inside-Out Board Hunter,"7'0""",244.0,"7'4""",89.0,85.0,92.0,81.0,84.0,84.0,70.0,98.0,80.0,76.0,61.0,80.0,70.0,98.0,90.0,82.0,87.0,85.0,95.0,70.0,86.0,84.0,91.0,84.0,98.0,66.0,60.0,65.0,66.0,72.0,65.0,64.0,74.0,50.0,41.0,81.0,79.0,60.0,60.0,87.0,82.0,91.0,85.0,89.0,2879.0,,,,gold,,gold,,,,silver,silver,silver,silver,silver,,gold,,,,,,,,,,,,,,,,,,,,silver,bronze,bronze,,,,,,Kentucky,
7.220231026,8.525178281,Alperen Sengun,HOU,C,M,C 3,0.002546304388,32,22.05178082,0.2595890411,9.897945205,5.521369863,1.01,0.811369863,0.5326996555,0.7010013433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.313559066,8.431063815,Dyson Daniels,ATL,PG/SG/SF,M,SG 3,0.3140507021,33,13.23931507,0.8883561644,5.791506849,4.433013699,2.573972603,0.6456164384,0.5171680716,0.6159551203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.946861658,8.295004844,Anthony Davis,DAL,PF/C,H,PF 1,0.3694620513,34,22.42064516,0.8722580645,10.01580645,4.149354839,1.227258065,2.074677419,0.494363883,0.765988853,United States,3-Level Scoring Paint Beast,"6'10""",253.0,"7'2""",94.0,88.0,94.0,80.0,76.0,79.0,98.0,98.0,85.0,79.0,71.0,87.0,86.0,97.0,96.0,78.0,93.0,94.0,95.0,86.0,93.0,93.0,89.0,96.0,98.0,66.0,60.0,65.0,67.0,72.0,68.0,84.0,95.0,64.0,66.0,88.0,95.0,82.0,95.0,87.0,84.0,89.0,50.0,94.0,3097.0,,,,gold,,gold,gold,silver,gold,silver,gold,bronze,gold,bronze,,gold,,,bronze,,,,,,,gold,,silver,,bronze,,,gold,,gold,silver,,silver,,gold,,,,Kentucky,
8.125049955,8.264939792,Austin Reaves,LAL,PG/SG,H,SG 3,0.2544228454,35,21.61264706,2.927941176,4.547794118,5.1975,1.077058824,0.3623529412,0.4752014342,0.8889883853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.870917255,8.180758904,Cooper Flagg,DAL,SF,M,SF 4,-0.03258227946,34,19.39150685,1.947808219,5.937945205,4.793287671,1.287808219,1.001643836,0.4298728777,0.8179997744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.558922526,8.118437266,Domantas Sabonis,SAC,C,M,C 3,0.1768437523,35,18.06071429,0.7897142857,14.36457143,5.395857143,0.7378571429,0.2892857143,0.569947078,0.7379897913,Lithuania,Inside The Arc Board Hunter,"6'11""",240.0,"7'3""",86.0,83.0,85.0,75.0,74.0,73.0,98.0,95.0,72.0,48.0,49.0,82.0,54.0,92.0,95.0,86.0,82.0,70.0,75.0,75.0,85.0,85.0,86.0,85.0,95.0,68.0,82.0,60.0,43.0,80.0,73.0,56.0,70.0,49.0,46.0,51.0,69.0,45.0,60.0,80.0,69.0,90.0,70.0,86.0,2705.0,,,,silver,,gold,,silver,,silver,silver,silver,gold,silver,,gold,,bronze,bronze,bronze,,,,,bronze,,,,,,,,,,,gold,gold,silver,,,,,,Gonzaga,
6.688588022,8.013556076,Coby White,CHA,PG/SG,M,SG 4,0.0500720183,33,22.69506849,2.850958904,4.331232877,4.297534247,0.8634246575,0.2171232877,0.4633082628,0.8800109956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.633345078,8.009935175,Jalen Duren,DET,C,M,C 7,0.07260624742,29,13.61136986,0.007260273973,11.53287671,3.065068493,0.855890411,1.158082192,0.6814505073,0.6779997944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.795275209,7.802050185,Jalen Johnson,ATL,SF/PF,H,PF 2,0.2256626499,35,19.61264706,1.142058824,9.251617647,5.156617647,1.372205882,0.8341176471,0.5144303079,0.7520214429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.493529166,7.566347564,Jimmy Butler,GSW,SF/PF,H,SF 4,0.2995459328,33,17.55823529,0.7785294118,5.376911765,5.847352941,1.565441176,0.2714705882,0.4985617137,0.8590049487,United States,2-Way Inside-Out Shot Creator,"6'7""",220.0,"6'8""",91.0,89.0,91.0,75.0,85.0,87.0,98.0,95.0,85.0,83.0,92.0,65.0,78.0,98.0,98.0,81.0,76.0,93.0,40.0,80.0,59.0,79.0,72.0,92.0,93.0,79.0,79.0,79.0,79.0,82.0,78.0,81.0,68.0,90.0,81.0,47.0,92.0,94.0,95.0,69.0,68.0,69.0,83.0,91.0,3009.0,,,,,bronze,bronze,bronze,,bronze,,silver,,,,,,,,,,,bronze,gold,,,gold,gold,gold,gold,gold,gold,gold,,gold,,,,,,gold,,,,Marquette,
7.36568439,7.443587872,Jamal Murray,DEN,PG/SG,H,PG 4,0.2098890985,35,22.03705882,2.417352941,4.124117647,6.407205882,1.169117647,0.4442647059,0.472483776,0.8839907193,Canada,Playmaking Inside-Out Scorer,"6'4""",207.0,"6'7""",87.0,89.0,88.0,82.0,86.0,83.0,98.0,98.0,78.0,80.0,77.0,54.0,80.0,95.0,85.0,78.0,63.0,90.0,30.0,82.0,38.0,46.0,56.0,78.0,84.0,83.0,84.0,89.0,79.0,85.0,76.0,59.0,35.0,77.0,43.0,42.0,74.0,70.0,70.0,45.0,38.0,52.0,98.0,87.0,2687.0,bronze,silver,silver,,silver,,gold,,gold,,,,,,,,bronze,silver,silver,bronze,silver,bronze,gold,gold,bronze,,,,,,,,,,,,,,,,,,,Kentucky,
